序号	PDF文件	类型	PDF行号	状态	对应说明	原题摘要
354	【包打听分享】2010大学物理（1）A卷试卷规范模版.pdf	blank	3	已写入	机械波；答案页 p1	17. 驻波 y=Acos2pix cos100pit 中 x=1/8 与 3/8 两点相位差 pi
355	【包打听分享】2010大学物理（1）A卷试卷规范模版.pdf	blank	3	重复/同类跳过	光的干涉；已有双缝条纹间距公式题；答案页 p1	18. 双缝第三明纹左右间距 3 mm
356	【包打听分享】2010大学物理（1）A卷试卷规范模版.pdf	blank	3	重复/同类跳过	光的干涉；已有空气劈尖缺陷判断与厚度题；答案页 p1	19. 空气劈尖缺陷图中 A 点膜厚 3lambda/2
357	【包打听分享】2010大学物理（1）A卷试卷规范模版.pdf	blank	4	已写入	光的偏振；答案页 p1	20. 三偏振片 P1 垂直 P3 且 P2 与 P1 成 30 度时透射光强 3I0/32
358	【包打听分享】2010大学物理（1）A卷试卷规范模版.pdf	calculation	4	已写入	刚体力学；答案页 p1	21. 粗糙桌面细杆与滑块碰撞后受摩擦停转时间
359	【包打听分享】2010大学物理（1）A卷试卷规范模版.pdf	calculation	4	已写入	热力学第一定律；答案页 p2	22. 1 mol 氮气三段过程总功 RT0(1+4ln2) 与内能变化 15RT0/2
360	【包打听分享】2010大学物理（1）A卷试卷规范模版.pdf	calculation	4	重复/同类跳过	机械波；已有由波形图写波函数和质点振动方程多题；答案页 p2	23. t=0 波形图写波函数及 x=100m 处振动和速度
361	【包打听分享】2010大学物理（1）A卷试卷规范模版.pdf	calculation	4	重复/同类跳过	光的衍射；已有光栅中央明纹宽度与主极大数同模型；答案页 p2	24. 每毫米 200 线光栅单缝中央明纹宽度和其中主极大数
362	【包打听分享】2010级大学物理（I）期末试卷解答（A卷）.pdf	answer	1-2	答案校验使用	不作为新题源单独录入；用于核对 2010 A 卷选择、填空和计算题答案	2010 A 卷答案及评分标准
363	【包打听分享】2010级大学物理1期末复习纲要.pdf	review	1	跳过	复习范围与题量说明，无完整独立题干	2010 复习纲要
364	【包打听分享】2011大学物理（1）A卷试卷规范模版 (1).pdf	choice	1	已写入	质点运动学；见“2011级期末：收绳拉船靠岸为什么是变加速运动”；答案页 p1，选 A	1. 定滑轮收绳拉船靠岸，判断船为变加速运动
365	【包打听分享】2011大学物理（1）A卷试卷规范模版 (1).pdf	choice	1	重复跳过	质点动力学基础；已有由 dv/dt=-kv^2t 求速度的同式题；答案页 p1，选 B	2. dv/dt=-kv^2t 积分求 v(t)
366	【包打听分享】2011大学物理（1）A卷试卷规范模版 (1).pdf	choice	1	重复跳过	质点动力学基础；与 2006 斜拉粗糙水平面加速度最大同题；答案页 p1，选 C	3. 粗糙水平面斜拉物体最大加速度时 tan theta=mu
367	【包打听分享】2011大学物理（1）A卷试卷规范模版 (1).pdf	choice	1	重复/概念跳过	气体动理论；已有同温不同气体平均动能和速率概念题；答案页 p1，选 D	4. 同温氢气和氧气的压强、平均动能和速率判断
368	【包打听分享】2011大学物理（1）A卷试卷规范模版 (1).pdf	choice	2	已写入	气体动理论；答案页 p1，选 D	5. 标准状态氧气和氦气体积比 1:3 时内能比 5/9
369	【包打听分享】2011大学物理（1）A卷试卷规范模版 (1).pdf	choice	2	已写入	机械振动；见“2011级期末：从半振幅到最大位移的最短时间”；答案页 p1，选 C	6. 简谐振动从 A/2 到 A 的最短时间 T/6
370	【包打听分享】2011大学物理（1）A卷试卷规范模版 (1).pdf	choice	2	重复跳过	机械振动；已有振子位移与能量比例题；答案页 p1，选 B	7. 位移为 A/2 时动能占总能量 3/4
371	【包打听分享】2011大学物理（1）A卷试卷规范模版 (1).pdf	choice	2	已写入	光的干涉；答案页 p1，选 A	8. n1>n2>n3 薄膜上下表面反射光相位差 4pi n2 e/lambda
372	【包打听分享】2011大学物理（1）A卷试卷规范模版 (1).pdf	choice	2	已写入	光的干涉；用 TikZ 复原图；答案页 p1，选 C	9. 浸入 n=1.60 液体的牛顿环中心暗斑，顶点到玻璃最小距离 78.1 nm
373	【包打听分享】2011大学物理（1）A卷试卷规范模版 (1).pdf	choice	2	重复跳过	光的偏振；正文已有“在布儒斯特角入射到平板玻璃时第二界面的反射光是什么光”；答案页 p1，选 B	10. 自然光以布儒斯特角入射玻璃板界面 2 反射光偏振判断
374	【包打听分享】2011大学物理（1）A卷试卷规范模版 (1).pdf	blank	2	已写入	三大守恒定律；答案页 p1	11. 子弹穿过接触木块 A、B 后木块 B 速度 4FΔt/(3m)
375	【包打听分享】2011大学物理（1）A卷试卷规范模版 (1).pdf	blank	3	重复跳过	三大守恒定律；与 2007 沿 x 轴变力做功同题；答案页 p1	12. F=(4+5x)i 从 x=0 到 10 m 做功 290 J
376	【包打听分享】2011大学物理（1）A卷试卷规范模版 (1).pdf	blank	3	重复/同类跳过	刚体力学；已有子弹射入绕端点转动细杆题；答案页 p1	13. 子弹射入细杆下端求初角速度约 0.4 rad/s
377	【包打听分享】2011大学物理（1）A卷试卷规范模版 (1).pdf	blank	3	重复跳过	气体动理论；已有同温氢气/氧气最概然速率关系题；答案页 p1	14. 氢气最概然速率 2000 m/s 时氧气最概然速率 500 m/s
378	【包打听分享】2011大学物理（1）A卷试卷规范模版 (1).pdf	blank	3	已写入	气体动理论；答案页 p1	15. 由 T,p,rho 用压强微观公式求方均根速率 495 m/s
379	【包打听分享】2011大学物理（1）A卷试卷规范模版 (1).pdf	blank	3	已写入	热力学第一定律；见“2011级期末：用等温线和绝热线判断温度降低与吸热路径”；答案页 p1	16. p-V 图中温度降低为 AM、吸热为 CM
380	【包打听分享】2011大学物理（1）A卷试卷规范模版 (1).pdf	blank	3	重复跳过	机械振动；已有三个同频同振幅振动合成题；答案页 p1	17. 三个同频振动合成为 0
381	【包打听分享】2011大学物理（1）A卷试卷规范模版 (1).pdf	blank	3	重复跳过	机械波；已有固定端反射求入射波同模型；答案页 p1	18. 已知固定端反射波求入射波表达式
382	【包打听分享】2011大学物理（1）A卷试卷规范模版 (1).pdf	blank	3	已写入	光的干涉；用 TikZ 复原图；答案页 p1	19. 双缝装置浸入透明液体后 P 点由三级明纹变四级明纹，n=1.33
383	【包打听分享】2011大学物理（1）A卷试卷规范模版 (1).pdf	blank	3	重复跳过	光的衍射；已有单缝中央明纹宽度随波长缩放题；答案页 p1	20. 中央明纹宽度由 500 nm 到 400 nm 变为 4 mm
384	【包打听分享】2011大学物理（1）A卷试卷规范模版 (1).pdf	calculation	4	重复跳过	刚体力学；与 2006 大小圆盘组合轮两侧挂重物同题；答案页 p1	21. 大小同轴圆盘两侧挂重物求角加速度 2g/(19r)
385	【包打听分享】2011大学物理（1）A卷试卷规范模版 (1).pdf	calculation	4	重复跳过	热力学第一定律；与 2003 水蒸气 abcda 循环同题；答案页 p2	22. 水蒸气 abcda 循环求 A_da、ΔU_ab、Q_bc 和净功
386	【包打听分享】2011大学物理（1）A卷试卷规范模版 (1).pdf	calculation	4	已写入	机械波；用 TikZ 复原图；答案页 p2	23. t=0 波形图写 P 点振动和波函数
387	【包打听分享】2011大学物理（1）A卷试卷规范模版 (1).pdf	calculation	4	重复跳过	光的衍射；已有钠光光栅第三级 60 度与另一光第二级 30 度同题；答案页 p2	24. 光栅由钠光和另一波长求 510.3 nm 及白光二级张角
388	【包打听分享】2011级大学物理（I）期末试卷解答（A卷）.pdf	answer	1-2	答案校验使用	不作为新题源单独录入；用于核对 2011 A 卷选择、填空和计算题答案	2011 A 卷答案及评分标准
389	【包打听分享】2012级大学物理（1）A卷试卷规范模版（3学分）.pdf	choice	1	重复/概念跳过	质点运动学；答案页 p1，选 D；已有速度、速率、切向加速度概念讲解	1. 曲线运动中位矢、速度、路程和切向加速度的微分关系判断
390	【包打听分享】2012级大学物理（1）A卷试卷规范模版（3学分）.pdf	choice	1	已写入	质点动力学基础；答案页 p1，选 B	2. 光滑半球碗以角速度转动，小球相对碗静止且高出底部 4 cm，求 omega≈13 rad/s
391	【包打听分享】2012级大学物理（1）A卷试卷规范模版（3学分）.pdf	choice	1	重复/概念跳过	气体动理论；答案页 p1，选 C；已有 p=(1/3)rho<v^2> 及方均根速率题	3. 同种气体同分子数密度，方均根速率比 1:2:4 时压强比 1:4:16
392	【包打听分享】2012级大学物理（1）A卷试卷规范模版（3学分）.pdf	choice	1	重复跳过	气体动理论；正文已有“水蒸气分解为同温氢气和氧气时内能增加多少”；答案页 p1，选 A	4. 水蒸气分解成同温氢气和氧气时内能增加 25%
393	【包打听分享】2012级大学物理（1）A卷试卷规范模版（3学分）.pdf	choice	1	已写入	气体动理论；答案页 p1，选 D	5. 定容封闭容器中理想气体平均速率加倍，温度和压强均变为 4 倍
394	【包打听分享】2012级大学物理（1）A卷试卷规范模版（3学分）.pdf	choice	2	重复跳过	气体动理论；已有同温 H2/O2 麦克斯韦速率分布和最概然速率同类题；答案页 p1，选 A	6. 同温氢气和氧气速率分布曲线及最概然速率比判断
395	【包打听分享】2012级大学物理（1）A卷试卷规范模版（3学分）.pdf	choice	2	重复跳过	机械振动；已有简谐振动由相位求最短时间同类题；答案页 p1，选 C	7. 从平衡位置沿正向运动到 A/2 且速度沿负向的最短时间 5T/12
396	【包打听分享】2012级大学物理（1）A卷试卷规范模版（3学分）.pdf	choice	2	重复/同类跳过	机械波；已有波形图判断能量、动能变化和传播方向题；答案页 p1，选 B	8. 由某时刻波形判断 A 点动能增大时传播方向和 B 点动能变化
397	【包打听分享】2012级大学物理（1）A卷试卷规范模版（3学分）.pdf	choice	2	重复/同类跳过	光的干涉；已有薄膜反射最小厚度和牛顿环暗斑同类题；答案页 p1，选 A	9. 空气中垂直入射到 n 薄膜，反射光沙尘暗的最小厚度 lambda/(4n)
398	【包打听分享】2012级大学物理（1）A卷试卷规范模版（3学分）.pdf	choice	2	重复/同类跳过	光的干涉；已有空气劈尖缺陷判断与深度题；答案页 p1，选 B	10. 空气劈尖条纹弯曲判断不平处为凸起且最大高度 250 nm
399	【包打听分享】2012级大学物理（1）A卷试卷规范模版（3学分）.pdf	blank	3	重复/同类跳过	质点动力学基础；已有变力沿 x 轴做功积分题；答案页 p1	11. F=(5+5x)i 从 x=0 到 10 m 做功 300 J
400	【包打听分享】2012级大学物理（1）A卷试卷规范模版（3学分）.pdf	blank	3	已写入	功能原理；答案页 p1	12. 恒力推粗糙桌面上弹簧物块，最远位置弹性势能 2(F-mu mg)^2/k
401	【包打听分享】2012级大学物理（1）A卷试卷规范模版（3学分）.pdf	blank	3	重复/同类跳过	刚体力学；已有滑轮转动惯量与绳约束加速度题；答案页 p1	13. 质量均为 m 的滑块、重物和转动滑轮系统，滑块 A 加速度 4 m/s^2
402	【包打听分享】2012级大学物理（1）A卷试卷规范模版（3学分）.pdf	blank	3	重复跳过	热力学第一定律；正文已有同题“2008级期末：由 \(p\)-\(T\) 图判断卡诺循环效率”；答案页 p1	14. p-T 循环中两段绝热过程，循环效率 25%
403	【包打听分享】2012级大学物理（1）A卷试卷规范模版（3学分）.pdf	blank	3	重复跳过	机械振动；已有同频简谐振动合成题；答案页 p1	15. 6 cm 与 8 cm 两振动相位差 pi/2，合振幅 0.1 m
404	【包打听分享】2012级大学物理（1）A卷试卷规范模版（3学分）.pdf	blank	3	重复跳过	机械波；已有同相波源到 P 点波程差导致合振幅为零同类题；答案页 p1	16. 两同相相干波源到 P 点距离 3lambda 和 4.5lambda，合振幅 0
405	【包打听分享】2012级大学物理（1）A卷试卷规范模版（3学分）.pdf	blank	3	重复跳过	机械波；已有固定端反射求反射波表达式同模型；答案页 p1	17. 入射波 y=Acos(omega t+2pi x/lambda) 在 x=0 固定端反射后的表达式
406	【包打听分享】2012级大学物理（1）A卷试卷规范模版（3学分）.pdf	blank	3-4	重复/同类跳过	光的干涉；已有双缝浸入液体级次变化求折射率同模型；答案页 p1	18. 双缝中 P 在空气中为第二级明纹，浸入液体后为第三级明纹，delta=2lambda，n=1.5
407	【包打听分享】2012级大学物理（1）A卷试卷规范模版（3学分）.pdf	blank	4	已写入	光的衍射；答案页 p1	19. 单缝 a=0.15 mm、f=400 mm，两侧第三级暗纹距 8 mm，求 lambda=500 nm
408	【包打听分享】2012级大学物理（1）A卷试卷规范模版（3学分）.pdf	blank	4	重复跳过	光的偏振；已有多偏振片马吕斯定律题；答案页 p1	20. 自然光依次通过三偏振片，两相邻偏振方向成 45 度，透射光强 I0/8
409	【包打听分享】2012级大学物理（1）A卷试卷规范模版（3学分）.pdf	calculation	4	重复/同类跳过	刚体力学；已有子弹击入绕端点转动杆和阻力矩停转同类题；答案页 p1	21. 子弹击入细杆端点，求初角速度 80 rad/s 和受恒阻力矩转过角度 10 rad
410	【包打听分享】2012级大学物理（1）A卷试卷规范模版（3学分）.pdf	calculation	4	重复/同类跳过	热力学第一定律；已有等容、等压、等温组成循环净功题；答案页 p2	22. 理想气体 a-b 等容、b-c 等压、c-a 等温循环净功 (3/4-ln4)p1V1=-0.636p1V1
411	【包打听分享】2012级大学物理（1）A卷试卷规范模版（3学分）.pdf	calculation	4	重复/同类跳过	机械波；已有由 t=0 波形图写波函数与指定点振动方程题；答案页 p2	23. 由波形图求 lambda=0.40 m、T=5 s、O 点和 P 点振动方程及波函数
412	【包打听分享】2012级大学物理（1）A卷试卷规范模版（3学分）.pdf	calculation	4	重复/同类跳过	光的衍射；已有光栅常数、缺级和可见主极大题；答案页 p2	24. 光栅第二级 30 度且第三级缺级，求 d=2400 nm、a_min=800 nm、可见级次 0,±1,±2
413	【包打听分享】2012级大学物理（1）A卷试卷规范模版（4学分）.pdf	choice	1	重复/概念跳过	质点运动学；同 3 学分 Q1；答案页 p1，选 D	1. 曲线运动中位矢、速度、路程和切向加速度的微分关系判断
414	【包打听分享】2012级大学物理（1）A卷试卷规范模版（4学分）.pdf	choice	1	已写入	质点动力学基础；同 3 学分 Q2 共用；答案页 p1，选 B	2. 光滑半球碗以角速度转动，小球相对碗静止且高出底部 4 cm，求 omega≈13 rad/s
415	【包打听分享】2012级大学物理（1）A卷试卷规范模版（4学分）.pdf	choice	1	重复/概念跳过	气体动理论；同 3 学分 Q3；答案页 p1，选 C	3. 同种气体同分子数密度，方均根速率比 1:2:4 时压强比 1:4:16
416	【包打听分享】2012级大学物理（1）A卷试卷规范模版（4学分）.pdf	choice	1	重复跳过	气体动理论；同 3 学分 Q4，正文已有“水蒸气分解为同温氢气和氧气时内能增加多少”；答案页 p1，选 A	4. 水蒸气分解成同温氢气和氧气时内能增加 25%
417	【包打听分享】2012级大学物理（1）A卷试卷规范模版（4学分）.pdf	choice	1	已写入	热力学第二定律；答案页 p1，选 D	5. 4 mol 理想气体 400 K 等温膨胀 V 到 4V，熵变约 46 J/K
418	【包打听分享】2012级大学物理（1）A卷试卷规范模版（4学分）.pdf	choice	2	重复跳过	气体动理论；同 3 学分 Q6；答案页 p1，选 A	6. 同温氢气和氧气速率分布曲线及最概然速率比判断
419	【包打听分享】2012级大学物理（1）A卷试卷规范模版（4学分）.pdf	choice	2	重复跳过	机械振动；同 3 学分 Q7；答案页 p1，选 C	7. 从平衡位置沿正向运动到 A/2 且速度沿负向的最短时间 5T/12
420	【包打听分享】2012级大学物理（1）A卷试卷规范模版（4学分）.pdf	choice	2	已写入	机械波；答案页 p1，选 B	8. 火车汽笛 750 Hz，以 90 km/h 远离静止观察者，接收频率约 699 Hz
421	【包打听分享】2012级大学物理（1）A卷试卷规范模版（4学分）.pdf	choice	2	重复/同类跳过	光的干涉；同 3 学分 Q9；答案页 p1，选 A	9. 空气中垂直入射到 n 薄膜，反射光沙尘暗的最小厚度 lambda/(4n)
422	【包打听分享】2012级大学物理（1）A卷试卷规范模版（4学分）.pdf	choice	2	重复/同类跳过	光的干涉；同 3 学分 Q10；答案页 p1，选 B	10. 空气劈尖条纹弯曲判断不平处为凸起且最大高度 250 nm
423	【包打听分享】2012级大学物理（1）A卷试卷规范模版（4学分）.pdf	blank	3	重复/同类跳过	质点动力学基础；同 3 学分 Q11；答案页 p1	11. F=(5+5x)i 从 x=0 到 10 m 做功 300 J
424	【包打听分享】2012级大学物理（1）A卷试卷规范模版（4学分）.pdf	blank	3	已写入	功能原理；同 3 学分 Q12 共用；答案页 p1	12. 恒力推粗糙桌面上弹簧物块，最远位置弹性势能 2(F-mu mg)^2/k
425	【包打听分享】2012级大学物理（1）A卷试卷规范模版（4学分）.pdf	blank	3	重复/同类跳过	刚体力学；同 3 学分 Q13；答案页 p1	13. 质量均为 m 的滑块、重物和转动滑轮系统，滑块 A 加速度 4 m/s^2
426	【包打听分享】2012级大学物理（1）A卷试卷规范模版（4学分）.pdf	blank	3	重复跳过	热力学第一定律；同 3 学分 Q14，正文已有“2008级期末：由 \(p\)-\(T\) 图判断卡诺循环效率”；答案页 p1	14. p-T 循环中两段绝热过程，循环效率 25%
427	【包打听分享】2012级大学物理（1）A卷试卷规范模版（4学分）.pdf	blank	3	重复跳过	机械振动；同 3 学分 Q15；答案页 p1	15. 6 cm 与 8 cm 两振动相位差 pi/2，合振幅 0.1 m
428	【包打听分享】2012级大学物理（1）A卷试卷规范模版（4学分）.pdf	blank	3	重复跳过	机械波；同 3 学分 Q16；答案页 p1	16. 两同相相干波源到 P 点距离 3lambda 和 4.5lambda，合振幅 0
429	【包打听分享】2012级大学物理（1）A卷试卷规范模版（4学分）.pdf	blank	3	重复跳过	机械波；同 3 学分 Q17；答案页 p1	17. 入射波 y=Acos(omega t+2pi x/lambda) 在 x=0 固定端反射后的表达式
430	【包打听分享】2012级大学物理（1）A卷试卷规范模版（4学分）.pdf	blank	3-4	重复/同类跳过	光的干涉；同 3 学分 Q18；答案页 p1	18. 双缝中 P 在空气中为第二级明纹，浸入液体后为第三级明纹，delta=2lambda，n=1.5
431	【包打听分享】2012级大学物理（1）A卷试卷规范模版（4学分）.pdf	blank	4	已写入	光的衍射；同 3 学分 Q19 共用；答案页 p1	19. 单缝 a=0.15 mm、f=400 mm，两侧第三级暗纹距 8 mm，求 lambda=500 nm
432	【包打听分享】2012级大学物理（1）A卷试卷规范模版（4学分）.pdf	blank	4	重复跳过	光的偏振；同 3 学分 Q20；答案页 p1	20. 自然光依次通过三偏振片，两相邻偏振方向成 45 度，透射光强 I0/8
433	【包打听分享】2012级大学物理（1）A卷试卷规范模版（4学分）.pdf	calculation	4	重复/同类跳过	刚体力学；同 3 学分 Q21；答案页 p1	21. 子弹击入细杆端点，求初角速度 80 rad/s 和受恒阻力矩转过角度 10 rad
434	【包打听分享】2012级大学物理（1）A卷试卷规范模版（4学分）.pdf	calculation	4	重复/同类跳过	热力学第一定律；同 3 学分 Q22；答案页 p2	22. 理想气体 a-b 等容、b-c 等压、c-a 等温循环净功 (3/4-ln4)p1V1=-0.636p1V1
435	【包打听分享】2012级大学物理（1）A卷试卷规范模版（4学分）.pdf	calculation	4	重复/同类跳过	机械波；同 3 学分 Q23；答案页 p2	23. 由波形图求 lambda=0.40 m、T=5 s、O 点和 P 点振动方程及波函数
436	【包打听分享】2012级大学物理（1）A卷试卷规范模版（4学分）.pdf	calculation	4	重复/同类跳过	光的衍射；同 3 学分 Q24；答案页 p2	24. 光栅第二级 30 度且第三级缺级，求 d=2400 nm、a_min=800 nm、可见级次 0,±1,±2
437	【包打听分享】2012级大学物理（I）期末试卷解答（A卷）.pdf	answer	1-2	答案校验使用	不作为新题源单独录入；用于核对 2012 A 卷选择、填空和计算题答案	2012 A 卷答案及评分标准；选择题答案 D,B,C,A,D,A,C,B,A,B
438	【包打听分享】2013级大学物理（1）A卷试卷规范模版（3学分）.pdf	blank	1	已写入	三大守恒定律；答案页 p1，选 C	1. 方向不变变力 \(F=3+4t\) 前 2 s 冲量 14 N·s
439	【包打听分享】2013级大学物理（1）A卷试卷规范模版（3学分）.pdf	blank	1	已写入	三大守恒定律；答案页 p1，选 A，配图已复原	2. 等质量滑块沿可动 \(1/4\) 圆槽滑下后离槽速度 \(\sqrt{gR}\)
440	【包打听分享】2013级大学物理（1）A卷试卷规范模版（3学分）.pdf	blank	1	已写入	机械振动；见“2013级期末：由振动曲线选择简谐振动方程”；答案页 p1，选 C	3. 由 \(x-t\) 图写简谐振动方程
441	【包打听分享】2013级大学物理（1）A卷试卷规范模版（3学分）.pdf	blank	2	重复/同类跳过	机械波；答案页 p2，选 B；已有波能量位置判断题	4. 波形图判断质元动能/势能变化
442	【包打听分享】2013级大学物理（1）A卷试卷规范模版（3学分）.pdf	blank	2	重复/同类跳过	光的干涉；答案页 p2，选 B；与双缝附加光程同题	5. 双缝一缝加玻璃纸，附加光程 \(2.5\lambda\)
443	【包打听分享】2013级大学物理（1）A卷试卷规范模版（3学分）.pdf	blank	2	重复/同类跳过	光的干涉；答案页 p2，选 C；与劈尖缺陷同题	6. 劈尖条纹弯曲判断凹陷，深度 \(\lambda/2\)
444	【包打听分享】2013级大学物理（1）A卷试卷规范模版（3学分）.pdf	blank	2	重复/同类跳过	光的衍射；答案页 p2，选 D；与半波带题同模型	7. 单缝 \(30^\circ\) 方向分成 3 个半波带求缝宽
445	【包打听分享】2013级大学物理（1）A卷试卷规范模版（3学分）.pdf	blank	2	重复/同类跳过	气体动理论；答案页 p2，选 A；与 Maxwell 能量积分题重复	8. \(\int_{v_1}^{v_2}\frac12mv^2Nf(v)\,dv\) 的物理意义
446	【包打听分享】2013级大学物理（1）A卷试卷规范模版（3学分）.pdf	blank	2	重复/同类跳过	气体动理论；答案页 p2，选 A；与 2008 同题	9. 理想气体 \(\overline{v_x^2}=kT/m\)
447	【包打听分享】2013级大学物理（1）A卷试卷规范模版（3学分）.pdf	choice	3	已写入	热力学第二定律；答案页 p3，选 D	10. 两个卡诺循环效率相等但外圈净功更大
448	【包打听分享】2013级大学物理（1）A卷试卷规范模版（3学分）.pdf	blank	3	重复/同类跳过	质点运动学；答案页 p3	11. 圆周运动 \(\theta=3+2t^2\)，求 \(a_\tau,a_n,\beta\)
449	【包打听分享】2013级大学物理（1）A卷试卷规范模版（3学分）.pdf	blank	3	重复/同类跳过	质点动力学基础；答案页 p3	12. \(m=0.25kg,\ F=t\mathbf i,\ v_0=2\mathbf j\)，求 \(\mathbf r(t)\)
450	【包打听分享】2013级大学物理（1）A卷试卷规范模版（3学分）.pdf	blank	3	重复/同类跳过	三大守恒定律；答案页 p3	13. \(x=t^3\) 前 2 s 力做功 36 J
451	【包打听分享】2013级大学物理（1）A卷试卷规范模版（3学分）.pdf	blank	3	已写入	刚体力学；见“2013级期末：子弹穿过杆端后细杆角速度”；答案页 p3	14. 子弹穿过细杆，末速减半时杆角速度 \(3v/(2L)\)
452	【包打听分享】2013级大学物理（1）A卷试卷规范模版（3学分）.pdf	blank	3	重复跳过	机械振动；答案页 p3	15. 两同频同向简谐振动合振幅 \(5\times10^{-2}m\)
453	【包打听分享】2013级大学物理（1）A卷试卷规范模版（3学分）.pdf	blank	3	重复跳过	机械波；答案页 p3	16. \(x_0=3\lambda/8\) 固定端反射波方程
454	【包打听分享】2013级大学物理（1）A卷试卷规范模版（3学分）.pdf	blank	3	重复/同类跳过	光的干涉；答案页 p3	17. \(n=1.33,\lambda=600nm\) 薄膜最小厚度 \(112.8nm\)
455	【包打听分享】2013级大学物理（1）A卷试卷规范模版（3学分）.pdf	blank	3	重复/同类跳过	光的偏振；答案页 p3	18. \(30^\circ\) 完全偏振，玻璃折射率 \(\sqrt3\)
456	【包打听分享】2013级大学物理（1）A卷试卷规范模版（3学分）.pdf	blank	4	已写入	气体动理论；答案页 p4，选 B	19. 由质量体积压强求最概然速率 \(200\,m/s\)
457	【包打听分享】2013级大学物理（1）A卷试卷规范模版（3学分）.pdf	blank	4	已写入	气体动理论；答案页 p4，选 A	20. 同压氦气和氧气单位体积内能，He \(<\) O\(_2\)
458	【包打听分享】2013级大学物理（1）A卷试卷规范模版（3学分）.pdf	calculation	4	重复/同类跳过	刚体力学；答案页 p4	21. 两大小不同定滑轮系统的张力和角加速度
459	【包打听分享】2013级大学物理（1）A卷试卷规范模版（3学分）.pdf	calculation	4	已写入	热力学第一定律；见“2013级期末：氧气从 300K 加热到 400K 的等压与等体比较”；答案页 p4	22. 300K 加热到 400K，等压/等体热量和功
460	【包打听分享】2013级大学物理（1）A卷试卷规范模版（3学分）.pdf	calculation	4	重复/同类跳过	机械波；答案页 p4	23. 负 \(x\) 传播波，求 \(\omega\)、\(O\) 振动和波函数
461	【包打听分享】2013级大学物理（1）A卷试卷规范模版（3学分）.pdf	calculation	4	重复/同类跳过	光的衍射；答案页 p4	24. 两波长第二次重合于 \(60^\circ\) 的光栅常数
462	【包打听分享】2013级大学物理（I）期末试卷解答（A卷）.pdf	answer	1-2	答案校验使用	不作为新题源单独录入；用于核对 2013 A 卷选择、填空和计算题答案	2013 A 卷答案及评分标准；选择题答案 C,A,C,B,B,C,D,A,A,D
463	【包打听分享】2014级大物试卷.pdf	choice	1	重复/同类跳过	质点动力学/功能关系；答案页 p2，选 C；已有变力做功同类题	1. 沿 \(x\) 轴运动质点受随时间变化的力，求指定时间内做功
464	【包打听分享】2014级大物试卷.pdf	choice	1	重复/同类跳过	动量守恒；答案页 p2，选 D；已有人在船上走动/船人系统题	2. 人与船组成系统，忽略水阻后用水平动量或质心守恒判断速度/位移
465	【包打听分享】2014级大物试卷.pdf	choice	1	已写入	功能关系；见“2014级期末：由半球碗底支持力反推摩擦力做功”；答案页 p2，选 C，图用 TikZ 复原	3. 小球从半球形容器边缘滑到底部，已知底部支持力 \(N\)，求摩擦力做功
466	【包打听分享】2014级大物试卷.pdf	choice	1	已写入	气体动理论；见“2014级期末：同种气体方均根速率比怎样决定压强比”；答案页 p2，选 A	4. 同种理想气体分子数密度相同，方均根速率比 \(1:2:4\)，求压强比
467	【包打听分享】2014级大物试卷.pdf	choice	1	重复/同类跳过	热力学第二定律/卡诺循环；答案页 p2，选 B；与 2013 级两个卡诺循环效率和净功比较同类	5. 同一对热源间两个卡诺循环，比较效率和循环净功
468	【包打听分享】2014级大物试卷.pdf	choice	1	重复/同类跳过	机械振动；答案页 p2，选 B；已有由振动图像判断周期/方程题	6. 由简谐振动 \(x-t\) 图像判断周期或相关时间量
469	【包打听分享】2014级大物试卷.pdf	choice	1	重复/同类跳过	机械振动能量；答案页 p2，选 A；已有位移为振幅四分之一时动能占比题	7. 简谐振动物体位移为振幅分数时，求动能与总能量比例
470	【包打听分享】2014级大物试卷.pdf	choice	1	重复/同类跳过	机械波干涉；答案页 p2，选 D；已有两相干波源波程差与相位差题	8. 两相干波源到 \(P\) 点的路程差与初相差共同决定合振动
471	【包打听分享】2014级大物试卷.pdf	choice	1	已写入	光的干涉；本轮人工核对高分辨渲染页，见“2014级期末：滚柱间距变小时劈尖条纹数和间距怎样变”；答案页 p2，选 B	9. 空气劈尖中滚柱距离 \(L\) 变小时，条纹数不变、间距变小
472	【包打听分享】2014级大物试卷.pdf	choice	1	重复/同类跳过	衍射与分辨本领；答案页 p2，选 D；已有望远镜瑞利判据口径题	10. 已知波长和距离，按瑞利判据估算望远镜物镜孔径/最小分辨角
473	【包打听分享】2014级大物试卷.pdf	blank	1	重复/同类跳过	质点运动学；答案页 p2	11. 抛体或曲线运动最高点曲率半径/加速度相关量，答案 6
474	【包打听分享】2014级大物试卷.pdf	blank	1	重复/同类跳过	三大守恒定律/冲量；答案页 p2	12. 平面运动或变力冲量分量计算，答案 \((140,240)\)
475	【包打听分享】2014级大物试卷.pdf	blank	1	已写入	气体动理论；本轮人工核对高分辨渲染页，见“2014级期末：由方均根速率求容器中气体压强”；答案页 p2	13. \(10^{-2}m^3\) 容器中 \(100g\) 气体，\(v_{\rm rms}=300m/s\)，压强 \(3\times10^5Pa\)
476	【包打听分享】2014级大物试卷.pdf	blank	1	重复/同类跳过	气体动理论；答案页 p2；已有 Maxwell 分布积分意义题	14. 用 \(Nf(v)\) 对速率区间积分表示对应分子数
